NAZWA_1;NAZWA_2
Gagarina;Jurija
Kolejowa;
Maja;1
Mickiewicza;Adama
Paderewskiego;Ignacego
Przechodnia;
Szymanowskiego;Karola
Wiejska;
Wolności;
Wyspiańskiego;Stanisława
Zielona;
Kraszewskiego;Józefa Ignacego
Rogowa;
Jana Pawła II;
Cicha;
Dzika;
Granitowa;
Kamienna;
Łączna;
Myśliwska;
Rybacka;
Sosnowiecka;
Stwosza;Wita
Świerkowa;
Wielkopolska;
Zagajnik;
Bielarska;
Borusiaka;Józefa
Łomnicka;
Topolowa;
Norwida;Cypriana
Franciszkańska;
Krasińskiego;Zygmunta
Lwówecka;
Ziębia Góra;
Pułaskiego;
Żulińskiego;
Przeskok;
Jesienna;
Jedwabna;
Cysterska;
Zielna;
Betlejemska;
Domy Kolejowe;
Komunalna;
Starorynkowa;
Piekarska;
Graniczna;
Klubowa;
Zdrojowy;
Dąbrowskiej;Marii
Długosza;Jana
Esperanto;
Jaskółcza;
Krakusa;
Mariańska;
Podgrodzie;
Promenada;
Rzepichy;
Targowa;
Lubelska;
Nad Potokiem;
Połoniny;
Sądowa;
Stara Droga;
Lawendowa;
Nagietkowa;
Strefowa;
Babisza;Tadeusza
Biała;
Bursztynowa;
Rentowa;
Winogrodzka;
Głogowska;
Gorczycowa;
Jaskrowa;
Liliowa;
Lipowa;
Miedziana;
Moniuszki;Stanisława
Narcyzowa;
Nasturcjowa;
Rejtana;Tadeusza
Skargi;Piotra
Szprotawska;
Tulipanowa;
Zachodnia;
Agawowa;
Gaikowa;
Jagodowa;
Orla;
Pawia;
Ptasia;
Tęczowa;
Długa;
Elektryczna;
Górska;
Stawowa;
Strzelecka;
Mieszka I;
Nowowiejska;
Śliwkowa;
Witosa;Wincentego
Kwiatkowskiego;Eugeniusza
Westerplatte;
Bella;Grahama
Widokowa;
Średzka;
Portowa;
Stocznia;
Kolista;
Zakole;
Błękitna;
Chabrowa;
Szklarniowa;
Tenisowa;
Chmielowa;
Grobla;
Borowska;
Energetyków;
Skawińska;
Łozińskiego;Władysława
Iglasta;
Wspólna;
Jana;
Mazurowicka;
Dolnobrzeska;
Letnia;
Zaułkowa;
Familijna;
Stacyjna;
Lipnicka;
Budowlana;
Czecha;Bronisława
Daleka;
Esperantystów;
Francuska;
Głowackiego;Bartosza
Jagienki;
Kątna;
Trzech Króli;
Floriańska;
Żurawia;
Broniewskiego;Władysława
Fieldorfa;gen. Augusta Emila
Jałowcowa;
Kołłątaja;Hugona
Korfantego;Wojciecha
Krzywickiego;Ludwika
Lelewela;Joachima
Lwowska;
Łukasińskiego;Waleriana
Małgorzaty;św.
Mennicka;
